id,date,opponent,result,assists
0022101220,04-10-2022,LAL @ DEN,W,26
0022101211,04-08-2022,LAL vs. OKC,W,23
0022101202,04-07-2022,LAL @ GSW,L,14
0022101189,04-05-2022,LAL @ PHX,L,22
0022101168,04-03-2022,LAL vs. DEN,L,31
0022101160,04-01-2022,LAL vs. NOP,L,24
0022101150,03-31-2022,LAL @ UTA,L,18
0022101134,03-29-2022,LAL @ DAL,L,20
0022101119,03-27-2022,LAL @ NOP,L,26
0022101093,03-23-2022,LAL vs. PHI,L,25
0022101072,03-21-2022,LAL @ CLE,W,34
0022101061,03-19-2022,LAL @ WAS,L,25
0022101051,03-18-2022,LAL @ TOR,W,33
0022101039,03-16-2022,LAL @ MIN,L,23
0022101028,03-14-2022,LAL vs. TOR,L,20
0022101019,03-13-2022,LAL @ PHX,L,24
0022101004,03-11-2022,LAL vs. WAS,W,25
0022100985,03-09-2022,LAL @ HOU,L,25
0022100973,03-07-2022,LAL @ SAS,L,19
0022100959,03-05-2022,LAL vs. GSW,W,25
0022100945,03-03-2022,LAL @ LAC,L,26
0022100931,03-01-2022,LAL vs. DAL,L,22
0022100919,02-27-2022,LAL vs. NOP,L,15
0022100904,02-25-2022,LAL vs. LAC,L,18
0022100884,02-16-2022,LAL vs. UTA,W,24
0022100854,02-12-2022,LAL @ GSW,L,25
0022100829,02-09-2022,LAL @ POR,L,29
0022100822,02-08-2022,LAL vs. MIL,L,28
0022100799,02-05-2022,LAL vs. NYK,W,29
0022100786,02-03-2022,LAL @ LAC,L,19
0022100781,02-02-2022,LAL vs. POR,W,25
0022100751,01-30-2022,LAL @ ATL,L,29
0022100735,01-28-2022,LAL @ CHA,L,19
0022100733,01-27-2022,LAL @ PHI,L,19
0022100718,01-25-2022,LAL @ BKN,W,23
0022100700,01-23-2022,LAL @ MIA,L,20
0022100685,01-21-2022,LAL @ ORL,W,23
0022100680,01-19-2022,LAL vs. IND,L,23
0022100665,01-17-2022,LAL vs. UTA,W,15
0022100649,01-15-2022,LAL @ DEN,L,21
0022100626,01-12-2022,LAL @ SAC,L,25
0022100606,01-09-2022,LAL vs. MEM,L,26
0022100589,01-07-2022,LAL vs. ATL,W,37
0022100566,01-04-2022,LAL vs. SAC,W,24
0022100551,01-02-2022,LAL vs. MIN,W,20
0022100538,12-31-2021,LAL vs. POR,W,27
0022100520,12-29-2021,LAL @ MEM,L,24
0022100511,12-28-2021,LAL @ HOU,W,27
0022100491,12-25-2021,LAL vs. BKN,L,29
0022100487,12-23-2021,LAL vs. SAS,L,21
0022100469,12-21-2021,LAL vs. PHX,L,14
0022100448,12-19-2021,LAL @ CHI,L,25
0022100436,12-17-2021,LAL @ MIN,L,26
0022100420,12-15-2021,LAL @ DAL,W,24
0022100403,12-12-2021,LAL vs. ORL,W,24
0022100389,12-10-2021,LAL @ OKC,W,23
0022100380,12-09-2021,LAL @ MEM,L,26
0022100365,12-07-2021,LAL vs. BOS,W,25
0022100341,12-03-2021,LAL vs. LAC,L,28
0022100318,11-30-2021,LAL @ SAC,W,21
0022100304,11-28-2021,LAL vs. DET,W,32
0022100291,11-26-2021,LAL vs. SAC,L,32
0022100268,11-24-2021,LAL @ IND,W,20
0022100264,11-23-2021,LAL @ NYK,L,23
0022100249,11-21-2021,LAL @ DET,W,29
0022100232,11-19-2021,LAL @ BOS,L,20
0022100219,11-17-2021,LAL @ MIL,L,24
0022100209,11-15-2021,LAL vs. CHI,L,19
0022100192,11-14-2021,LAL vs. SAS,W,28
0022100184,11-12-2021,LAL vs. MIN,L,17
0022100170,11-10-2021,LAL vs. MIA,W,26
0022100154,11-08-2021,LAL vs. CHA,W,30
0022100138,11-06-2021,LAL @ POR,L,20
0022100123,11-04-2021,LAL vs. OKC,L,22
0022100107,11-02-2021,LAL vs. HOU,W,26
0022100093,10-31-2021,LAL vs. HOU,W,22
0022100077,10-29-2021,LAL vs. CLE,W,24
0022100061,10-27-2021,LAL @ OKC,L,29
0022100053,10-26-2021,LAL @ SAS,W,20
0022100040,10-24-2021,LAL vs. MEM,W,29
0022100025,10-22-2021,LAL vs. PHX,L,25
0022100002,10-19-2021,LAL vs. GSW,L,21
