PlayerName,PTS
Joel Embiid,33.1
Luka Doncic,32.4
Damian Lillard,32.2
Shai Gilgeous-Alexander,31.4
Giannis Antetokounmpo,31.1
Jayson Tatum,30.1
Stephen Curry,29.4
Kevin Durant,29.1
LeBron James,28.9
Donovan Mitchell,28.3
Devin Booker,27.8
Kyrie Irving,27.1
Jaylen Brown,26.6
Trae Young,26.2
Ja Morant,26.2
Zion Williamson,26.0
Anthony Davis,25.9
Lauri Markkanen,25.6
Julius Randle,25.1
De'Aaron Fox,25.0
Zach LaVine,24.8
Brandon Ingram,24.7
Anthony Edwards,24.6
DeMar DeRozan,24.5
Nikola Jokic,24.5
Pascal Siakam,24.2
Jalen Brunson,24.0
Kawhi Leonard,23.8
Paul George,23.8
LaMelo Ball,23.3
Bradley Beal,23.2
Kristaps Porzingis,23.2
Jimmy Butler,22.9
Jalen Green,22.1
Keldon Johnson,22.0
Klay Thompson,21.9
Darius Garland,21.6
Bojan Bogdanovic,21.6
Desmond Bane,21.5
Kyle Kuzma,21.2
Terry Rozier,21.1
Anfernee Simons,21.1
James Harden,21.0
CJ McCollum,20.9
Jordan Clarkson,20.8
Karl-Anthony Towns,20.8
Tyrese Haliburton,20.7
Jerami Grant,20.5
Dejounte Murray,20.5
Jordan Poole,20.4
Bam Adebayo,20.4
Tyrese Maxey,20.3
Kelly Oubre Jr.,20.3
Mikal Bridges,20.1
Tyler Herro,20.1
Louis King,20.0
Jamal Murray,20.0
Paolo Banchero,20.0
Cade Cunningham,19.9
RJ Barrett,19.6
Fred VanVleet,19.3
Jrue Holiday,19.3
Kevin Porter Jr.,19.2
Domantas Sabonis,19.1
Jaren Jackson Jr.,18.6
Franz Wagner,18.6
Devin Vassell,18.5
Deandre Ayton,18.0
Myles Turner,18.0
D'Angelo Russell,17.8
Nikola Vucevic,17.6
Michael Porter Jr.,17.4
Gary Trent Jr.,17.4
Spencer Dinwiddie,17.3
Andrew Wiggins,17.1
Norman Powell,17.0
Buddy Hield,16.8
O.G. Anunoby,16.8
Bennedict Mathurin,16.7
Christian Wood,16.6
Josh Giddey,16.6
Aaron Gordon,16.3
Jaden Ivey,16.3
Evan Mobley,16.2
RaiQuan Gray,16.0
Brook Lopez,15.9
Russell Westbrook,15.9
P.J. Washington,15.7
Cameron Johnson,15.5
De'Andre Hunter,15.4
Skylar Mays,15.3
Scottie Barnes,15.3
Wendell Carter Jr.,15.2
Kevin Huerter,15.2
Khris Middleton,15.1
Harrison Barnes,15.0
Immanuel Quickley,14.9
Malcolm Brogdon,14.9
Alperen Sengun,14.8
Tobias Harris,14.7
Gordon Hayward,14.7
Trey Murphy III,14.5
Tim Hardaway Jr.,14.4
Dillon Brooks,14.3
Collin Sexton,14.3
Jarrett Allen,14.3
Jonas Valanciunas,14.1
Bobby Portis,14.1
Jalen Williams,14.1
Bogdan Bogdanovic,14.0
Markelle Fultz,14.0
Chris Paul,13.9
Saddiq Bey,13.8
Luguentz Dort,13.7
Malik Monk,13.5
Rudy Gobert,13.4
Jusuf Nurkic,13.3
Kris Dunn,13.2
John Collins,13.1
Cole Anthony,13.0
Austin Reaves,13.0
Tre Jones,12.9
Jabari Smith Jr.,12.8
Alec Burks,12.8
KJ Martin,12.7
Malik Beasley,12.7
Nic Claxton,12.6
Dennis Schroder,12.6
Mac McClung,12.5
Jakob Poeltl,12.5
Kelly Olynyk,12.5
Eric Gordon,12.4
Derrick White,12.4
Keegan Murray,12.2
Caris LeVert,12.1
Jaden McDaniels,12.1
Marvin Bagley III,12.0
Clint Capela,12.0
Mike Conley,11.9
Bones Hyland,11.8
Lonnie Walker IV,11.7
Zach Collins,11.6
Bruce Brown,11.5
Max Strus,11.5
Marcus Smart,11.5
Naz Reid,11.5
John Wall,11.4
Isaiah Stewart,11.3
Quentin Grimes,11.3
Rui Hachimura,11.2
Marcus Morris Sr.,11.2
Kyle Lowry,11.2
Corey Kispert,11.1
Jeremy Sochan,11.0
Mason Plumlee,10.8
Jaylen Nowell,10.8
Kentavious Caldwell-Pope,10.8
Ivica Zubac,10.8
Talen Horton-Tucker,10.7
Victor Oladipo,10.7
Nate Williams,10.6
Cam Thomas,10.6
Moritz Wagner,10.5
Grayson Allen,10.4
Killian Hayes,10.3
Tyus Jones,10.3
Cameron Payne,10.3
Monte Morris,10.3
Doug McDermott,10.2
Malaki Branham,10.2
Reggie Jackson,10.2
Patrick Williams,10.2
De'Anthony Melton,10.1
Aaron Nesmith,10.1
Josh Richardson,10.1
James Wiseman,10.0
Brandon Clarke,10.0
Jonathan Kuminga,9.9
Onyeka Okongwu,9.9
Jalen Suggs,9.9
Shaedon Sharpe,9.9
Luka Samanic,9.9
Herbert Jones,9.8
Thomas Bryant,9.8
Al Horford,9.8
Josh Hart,9.8
Julian Champagnie,9.7
Cam Reddish,9.7
Coby White,9.7
Keita Bates-Diop,9.7
Caleb Martin,9.6
Isaiah Joe,9.5
Andrew Nembhard,9.5
Jalen Smith,9.4
Jalen McDaniels,9.4
Gabe Vincent,9.4
Donte DiVincenzo,9.4
Kyle Anderson,9.4
Chris Boucher,9.4
Hamidou Diallo,9.3
Tari Eason,9.3
Luke Kennard,9.3
Precious Achiuwa,9.2
Seth Curry,9.2
Walker Kessler,9.2
Deni Avdija,9.2
Jalen Duren,9.1
Taurean Prince,9.1
Jae'Sean Tate,9.1
Josh Green,9.1
Naji Marshall,9.1
Bol Bol,9.1
Santi Aldama,9.0
Daniel Gafford,9.0
Jose Alvarado,9.0
Mark Williams,9.0
AJ Griffin,8.9
Royce O'Neale,8.8
Terance Mann,8.8
Shaquille Harrison,8.8
Dennis Smith Jr.,8.8
Jaden Hardy,8.8
Jordan Nwora,8.7
Cedi Osman,8.7
T.J. McConnell,8.7
Landry Shamet,8.7
Steven Adams,8.6
Ayo Dosunmu,8.6
Draymond Green,8.5
Shake Milton,8.4
Dorian Finney-Smith,8.3
Terrence Ross,8.3
Gary Harris,8.3
Kevin Love,8.2
Nick Richards,8.2
Georges Niang,8.2
Damion Lee,8.2
Aleksej Pokusevski,8.1
Grant Williams,8.1
Jevon Carter,8.0
Kenrich Williams,8.0
Kemba Walker,8.0
Gabe York,8.0
Robert Williams III,8.0
Jarred Vanderbilt,7.9
Ochai Agbaji,7.9
Duane Washington Jr.,7.9
Chris Duarte,7.9
Jeff Green,7.8
Tre Mann,7.7
Pat Connaughton,7.6
Joe Harris,7.6
Trey Lyles,7.6
T.J. Warren,7.5
Torrey Craig,7.4
Obi Toppin,7.4
Trendon Watford,7.4
Devonte' Graham,7.4
Delon Wright,7.4
Mitchell Robinson,7.4
Josh Okogie,7.3
Jay Huff,7.3
Isaiah Jackson,7.2
Reggie Bullock Jr.,7.2
Lindell Wigginton,7.1
Edmond Sumner,7.1
Troy Brown Jr.,7.1
Kendrick Nunn,7.1
Kevon Looney,7.0
Xavier Tillman,7.0
Daniel Theis,7.0
Chance Comanche,7.0
Joshua Primo,7.0
Eugene Omoruyi,7.0
Svi Mykhailiuk,6.9
